! Neufeld et al. 1995ApJS, 100, 132
! Table 3, for CO

! T
            10    20    30    50    80    100

! -log10(L0)
            24.96 24.56 24.36 24.12 23.88 23.80

! -log10(L_LTE)
14.5        21.15 20.39 19.97 19.47 19.02 18.81
15.0        21.25 20.45 20.02 19.50 19.04 18.83
15.5        21.45 20.58 20.12 19.57 19.09 18.87
16.0        21.73 20.81 20.31 19.71 19.20 18.96
16.5        22.08 21.11 20.58 19.95 19.39 19.14
17.0        22.47 21.46 20.91 20.25 19.67 19.40
17.5        22.89 21.85 21.28 20.60 19.99 19.71
18.0        23.32 22.25 21.67 20.97 20.35 20.07
18.5        23.76 22.68 22.08 21.37 20.74 20.45
19.0        24.21 23.11 22.51 21.78 21.14 20.85

! log10(n_1/2)
14.5         3.31  3.72  3.96  4.24  4.39  4.51
15.0         3.11  3.59  3.87  4.17  4.35  4.47
15.5         2.80  3.34  3.64  4.01  4.23  4.36
16.0         2.37  2.95  3.31  3.73  3.99  4.13
16.5         1.90  2.50  2.87  3.33  3.61  3.78
17.0         1.40  2.02  2.40  2.86  3.17  3.34
17.5         0.90  1.52  1.90  2.38  2.69  2.87
18.0         0.40  1.02  1.41  1.89  2.19  2.38
18.5        -0.09  0.52  0.91  1.39  1.69  1.88
19.0        -0.59  0.03  0.41  0.88  1.19  1.38

! alpha
14.5         0.37  0.41  0.42  0.41  0.38  0.37
15.0         0.38  0.42  0.44  0.42  0.39  0.37
15.5         0.38  0.43  0.44  0.43  0.40  0.39
16.0         0.36  0.41  0.43  0.43  0.40  0.39
16.5         0.34  0.37  0.39  0.39  0.39  0.39
17.0         0.31  0.33  0.35  0.35  0.35  0.34
17.5         0.28  0.31  0.32  0.32  0.31  0.31
18.0         0.26  0.28  0.29  0.28  0.28  0.28
18.5         0.25  0.26  0.26  0.26  0.26  0.26
19.0         0.23  0.25  0.25  0.24  0.25  0.25


! Neufeld & Kaufman 1993ApJ, 418, 263
! Table 3, for CO

! T
            100   300   600   1000  1500  2000

! -log10(L0)
            23.88 23.40 23.07 22.81 22.61 22.47

! -log10(L_LTE)
14.0        18.81 17.82 17.23 16.82 16.52 16.33
14.5        18.81 17.82 17.23 16.82 16.52 16.33
15.0        18.83 17.83 17.24 16.82 16.52 16.33
15.5        18.87 17.84 17.24 16.83 16.52 16.33
16.0        18.96 17.88 17.26 16.84 16.53 16.33
16.5        19.14 17.98 17.32 16.88 16.56 16.35
17.0        19.40 18.15 17.44 16.96 16.62 16.40
17.5        19.71 18.41 17.65 17.13 16.76 16.52
18.0        20.07 18.72 17.93 17.38 16.98 16.72
18.5        20.45 19.07 18.26 17.69 17.27 17.00
19.0        20.85 19.45 18.62 18.03 17.61 17.33

! log10(n_1/2)
14.0         4.43  4.95  5.25  5.43  5.57  5.68
14.5         4.42  4.95  5.24  5.43  5.57  5.68
15.0         4.38  4.93  5.23  5.42  5.57  5.68
15.5         4.24  4.88  5.20  5.42  5.56  5.68
16.0         4.01  4.75  5.13  5.36  5.54  5.65
16.5         3.64  4.50  4.95  5.24  5.44  5.58
17.0         3.21  4.12  4.65  5.00  5.25  5.41
17.5         2.72  3.67  4.25  4.63  4.92  5.13
18.0         2.22  3.20  3.77  4.18  4.51  4.73
18.5         1.73  2.69  3.29  3.70  4.03  4.26
19.0         1.23  2.20  2.79  3.20  3.54  3.78

! alpha
14.0         0.39  0.38  0.38  0.37  0.36  0.35
14.5         0.38  0.38  0.38  0.37  0.36  0.35
15.0         0.37  0.37  0.37  0.37  0.36  0.35
15.5         0.36  0.36  0.36  0.36  0.35  0.34
16.0         0.36  0.35  0.35  0.35  0.34  0.33
16.5         0.38  0.35  0.34  0.34  0.33  0.32
17.0         0.41  0.37  0.35  0.33  0.32  0.31
17.5         0.44  0.40  0.37  0.35  0.32  0.31
18.0         0.47  0.43  0.40  0.38  0.35  0.33
18.5         0.49  0.46  0.43  0.41  0.38  0.36
19.0         0.51  0.48  0.46  0.44  0.41  0.39


!Table 5
! T
            100   200   400   1000  2000  4000

13.0        10.83 10.82 10.82 10.80 10.77 10.79
14.0        10.84 10.83 10.82 10.80 10.77 10.79
15.0        10.88 10.86 10.84 10.81 10.77 10.80
16.0        11.20 11.11 11.03 10.92 10.82 10.82
17.0        11.99 11.86 11.73 11.42 11.17 11.04
18.0        12.89 12.77 12.61 12.18 11.95 11.75
19.0        13.82 13.70 13.44 13.03 12.63 12.31
20.0        14.76 14.65 14.30 13.93 13.46 13.09
