! Neufeld & Kaufman 1993ApJ, 418, 263
! Table 4, for H2

! log10(T)  -log10(L0)   -log10(L_LTE)  log10(n_1/2)  alpha
1.6         24.70        23.04          1.69          0.00
1.7         24.69        23.10          1.60          0.00
1.8         24.71        23.18          1.53          0.00
1.9         24.74        23.22          1.44          0.79
1.95        24.76        23.18          1.38          0.75
2.0         26.97        25.39          1.38          0.75
2.1         26.51        24.79          1.30          0.67
2.2         26.11        24.25          1.23          0.58
2.3         25.75        23.77          1.16          0.48
2.4         25.42        23.34          1.12          0.42
2.5         25.12        22.93          1.08          0.39
2.6         24.87        22.53          1.08          0.40
2.7         24.64        22.13          1.14          0.42
2.8         24.43        21.75          1.24          0.43
2.9         24.24        21.38          1.32          0.44
3.0         24.06        21.03          1.75          0.44
3.1         23.87        20.68          2.27          0.55
3.2         23.52        20.35          2.21          0.61
3.3         23.28        20.03          2.28          0.59
3.4         23.01        19.72          2.34          0.56
3.5         22.70        19.43          2.35          0.57
3.6         22.35        19.16          2.30          0.59

! Neufeld et al. 1995ApJS, 100, 132
! Table 4, for H2

1.6        -24.70       -23.04          1.69
1.7        -24.69       -23.10          1.60
1.8        -24.71       -23.18          1.53
1.9        -24.74       -23.22          1.44          0.79
2.0        -24.76       -23.18          1.38          0.75
