Network: WALMSLEY 2004
B. Parise -- 12 Nov. 2009

H       H	        pH2                                      2.50e-01 0.00e+00 0.00e+00 0  
H       H               oH2                                      7.50e-01 0.00e+00 0.00e+00 0  
H       D               HD                                       1.00e+00 0.00e+00 0.00e+00 0  
H                       H+      E                                0.46     0.00e+00 0.00e+00 1   
HE                      HE+     E                                0.50     0.00e+00 0.00e+00 1   
pH2                     H+      H       E                        0.04     0.00e+00 0.00e+00 1   
oH2                     H+      H       E                        0.04     0.00e+00 0.00e+00 1   
pH2                     H       H                                1.50     0.00e+00 0.00e+00 1 
oH2                     H       H                                1.50     0.00e+00 0.00e+00 1 
pH2                     pH2+    E                                0.96     0.00e+00 0.00e+00 1 
oH2                     oH2+    E                                0.96     0.00e+00 0.00e+00 1
D                       D+      E                                0.46     0.00e+00 0.00e+00 1
HD                      H+      D       E                        0.02     0.00e+00 0.00e+00 1
HD                      D+      H       E                        0.02     0.00e+00 0.00e+00 1
HD                      H       D                                1.50     0.00e+00 0.00e+00 1
HD                      HD+     E                                0.96     0.00e+00 0.00e+00 1
D2                      D+      D       E                        0.04     0.00e+00 0.00e+00 1
D2                      D       D                                1.50     0.00e+00 0.00e+00 1
D2                      D2+     E                                0.96     0.00e+00 0.00e+00 1
GRAIN0                  GRAIN+  E 				 0.63e08  0.00e+00 0.00e+00 1
GRAIN-                  GRAIN0 	E 				 0.41e09  0.00e+00 0.00e+00 1
H+      oH2             H+      pH2                              2.20e-10 0.00e+00 0.00e+00 2 
pH3+    oH2             oH3+    pH2                              4.40e-10 0.00e+00 0.00e+00 2
oH3+    oH2             pH3+    pH2                              1.10e-10 0.00e+00 0.00e+00 2
H+      pH2             H+      oH2                              1.98e-09 0.00e+00 170.5    2
pH3+    pH2             oH3+    oH2                              1.98e-09 0.00e+00 203.4    2
oH3+    pH2             pH3+    oH2                              1.98e-09 0.00e+00 137.6    2
oH2+    oH2             pH3+    H                                1.05e-09 0.00e+00 0.00e+00 2
oH2+    oH2             oH3+    H                                1.05e-09 0.00e+00 0.00e+00 2
pH2+    oH2             pH3+    H                                1.05e-09 0.00e+00 0.00e+00 2
pH2+    oH2             oH3+    H                                1.05e-09 0.00e+00 0.00e+00 2
oH2+    pH2             pH3+    H                                1.05e-09 0.00e+00 0.00e+00 2
oH2+    pH2             oH3+    H                                1.05e-09 0.00e+00 0.00e+00 2
pH2+    pH2             pH3+    H                                2.10e-09 0.00e+00 0.00e+00 2
HE+     pH2             H+      H       HE                       1.10e-13-0.24     0.00e+00 2
HE+     oH2             H+      H       HE                       1.10e-13-0.24     0.00e+00 2
D+      H               H+      D                                1.00e-09 0.00e+00 0.00e+00 2
H+      D               D+      H                                1.00e-09 0.00e+00 41.0     2
D+      pH2             H+      HD                               2.10e-09 0.00e+00 0.00e+00 2
D+      oH2             H+      HD                               2.10e-09 0.00e+00 0.00e+00 2
H+      HD              D+      pH2                              1.00e-09 0.00e+00 464.0    2
H+      HD              D+      oH2                              1.00e-09 0.00e+00 634.5    2
HD+     pH2             pH2D+   H                                5.25e-10 0.00e+00 0.00e+00 2
HD+     pH2             oH2D+   H                                5.25e-10 0.00e+00 0.00e+00 2
HD+     oH2             pH2D+   H                                5.25e-10 0.00e+00 0.00e+00 2
HD+     oH2             oH2D+   H                                5.25e-10 0.00e+00 0.00e+00 2
HD+     pH2             pH3+    D                                1.05e-09 0.00e+00 0.00e+00 2 
HD+     oH2             oH3+    D                                5.25e-09 0.00e+00 0.00e+00 2
HD+     oH2             pH3+    D                                5.25e-09 0.00e+00 0.00e+00 2  
pH2+    HD              pH2D+   H                                5.25e-10 0.00e+00 0.00e+00 2
pH2+    HD              oH2D+   H                                5.25e-10 0.00e+00 0.00e+00 2
oH2+    HD              pH2D+   H                                5.25e-10 0.00e+00 0.00e+00 2
oH2+    HD              oH2D+   H                                5.25e-10 0.00e+00 0.00e+00 2
