! Produced on 2013-10-28 18:33:18.643815
! Based on data files downloaded from the homepage of Draine:
! http://www.astro.princeton.edu/~draine/dust/dust.diel.html
! 
! Local input files:
! SiC: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/SiC_81
! silicate: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/suvSil_81
! graphite: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/Gra_81
! 
! Averaged over a power law distribution of grain size:
! rmin = 1.000e-02, rmax = 1.000e+01, index = -3.500
! 
! Then averaged over a few dust species based on the following weights:
! SiC: 3.000e-01 silicate: 5.000e-01 graphite: 2.000e-01 
! 
! iformat =      3
! nrows =    241
! 
! lambda             absor              scatter            g                 
! micron             cm2 g-1            cm2 g-1                              
  1.0000000000e-03   1.5641584681e+03   3.2361212306e+03   9.9927670310e-01
  1.0590000000e-03   1.7088265314e+03   3.3124578079e+03   9.9927670310e-01
  1.1220000000e-03   1.8612987137e+03   3.3648007365e+03   9.9920755772e-01
  1.1890000000e-03   2.0234029598e+03   3.4227811929e+03   9.9908251972e-01
  1.2590000000e-03   2.1874149291e+03   3.4588406884e+03   9.9903056066e-01
  1.3340000000e-03   2.3600896483e+03   3.5067220177e+03   9.9881169008e-01
  1.4130000000e-03   2.5408403786e+03   3.5282270793e+03   9.9877274182e-01
  1.4960000000e-03   2.6455634679e+03   3.5491117674e+03   9.9860845873e-01
  1.5850000000e-03   2.8438763165e+03   3.5890257984e+03   9.9845427228e-01
  1.6790000000e-03   2.5618488580e+03   3.5257150310e+03   9.9833123110e-01
  1.7780000000e-03   2.7580747033e+03   3.8202641800e+03   9.9809048910e-01
  1.8840000000e-03   2.9617575083e+03   3.9312060075e+03   9.9787338706e-01
  1.9950000000e-03   3.1709663611e+03   4.0529130188e+03   9.9769268342e-01
  2.1130000000e-03   3.3852566266e+03   4.0851330218e+03   9.9740466746e-01
  2.2390000000e-03   3.6034358231e+03   4.1012502240e+03   9.9714427720e-01
  2.3710000000e-03   3.0494511804e+03   4.1953259974e+03   9.9692801110e-01
  2.5120000000e-03   3.2643062538e+03   4.6815760996e+03   9.9648280713e-01
  2.6610000000e-03   3.4888392972e+03   4.8482555786e+03   9.9619577970e-01
  2.8180000000e-03   3.7267605428e+03   4.9804853335e+03   9.9573653709e-01
  2.9850000000e-03   3.9671696159e+03   5.0592664223e+03   9.9527141536e-01
  3.1620000000e-03   4.2027613482e+03   5.1234115211e+03   9.9480192378e-01
  3.3500000000e-03   4.4476540224e+03   5.1721783169e+03   9.9420077594e-01
  3.5480000000e-03   4.6971474696e+03   5.2062346696e+03   9.9360087438e-01
  3.7580000000e-03   4.9489857137e+03   5.2249935258e+03   9.9289834378e-01
  3.9810000000e-03   5.2024065240e+03   5.2295471712e+03   9.9219298759e-01
  4.2170000000e-03   5.4572337913e+03   5.1288299292e+03   9.9141600329e-01
  4.4670000000e-03   4.3858037950e+03   5.0640763088e+03   9.9051511682e-01
  4.7320000000e-03   4.6066027654e+03   5.3107095048e+03   9.8956134794e-01
  5.0120000000e-03   4.8309449271e+03   5.7103191020e+03   9.8850981480e-01
  5.3090000000e-03   5.0581055494e+03   5.8512287499e+03   9.8727671690e-01
  5.6230000000e-03   5.2870560517e+03   5.9728656317e+03   9.8610464354e-01
  5.9570000000e-03   5.5188629629e+03   6.0656635473e+03   9.8455825798e-01
  6.3100000000e-03   5.7437886860e+03   6.1322553216e+03   9.8308233375e-01
  6.6830000000e-03   5.9706224445e+03   6.1742284147e+03   9.8125263151e-01
  7.0790000000e-03   6.1956463056e+03   6.1743023865e+03   9.7944986183e-01
  7.4990000000e-03   6.1174398201e+03   6.1143767366e+03   9.7727560668e-01
  7.9430000000e-03   6.3311654884e+03   6.2994796183e+03   9.7517176304e-01
  8.4140000000e-03   6.5458790227e+03   6.3684273761e+03   9.7256294372e-01
  8.9130000000e-03   6.7566209750e+03   6.3987601615e+03   9.6980185859e-01
  9.4410000000e-03   6.9634135376e+03   6.3881492106e+03   9.6667912627e-01
  1.0000000000e-02   7.1720435804e+03   6.2893328047e+03   9.6346937881e-01
  1.0590000000e-02   7.4230947775e+03   6.0767134830e+03   9.5994966126e-01
  1.1220000000e-02   6.0873968001e+03   5.9223056972e+03   9.5584074106e-01
  1.1890000000e-02   6.2719477092e+03   6.4999993855e+03   9.5138069952e-01
  1.2590000000e-02   6.4637837803e+03   6.7242423019e+03   9.4630267479e-01
  1.3340000000e-02   6.5942215888e+03   6.8940840745e+03   9.4115470112e-01
  1.4130000000e-02   6.7008249156e+03   7.1283016896e+03   9.3529809500e-01
  1.4960000000e-02   6.8736562820e+03   7.2919657234e+03   9.2912889879e-01
  1.5850000000e-02   7.0421793798e+03   7.4251649507e+03   9.2202761310e-01
  1.6790000000e-02   7.2080283416e+03   7.5407111272e+03   9.1399453721e-01
  1.7780000000e-02   7.3761150272e+03   7.6336902369e+03   9.0497580047e-01
  1.8840000000e-02   7.5564785878e+03   7.6664684546e+03   8.9550012163e-01
  1.9950000000e-02   7.5841589801e+03   7.7894352814e+03   8.8523230876e-01
  2.1130000000e-02   7.7295719684e+03   7.9302235375e+03   8.7446885295e-01
  2.2390000000e-02   7.8812966343e+03   8.0306355465e+03   8.6335351497e-01
  2.3710000000e-02   7.9984445155e+03   8.1482076246e+03   8.5078182254e-01
  2.5120000000e-02   8.1667113971e+03   8.2656841291e+03   8.3653584931e-01
  2.6610000000e-02   8.3368902726e+03   8.3651103302e+03   8.2014900610e-01
  2.8180000000e-02   8.5039607062e+03   8.4559955115e+03   8.0150471401e-01
  2.9850000000e-02   8.6728437864e+03   8.5421877320e+03   7.8005784939e-01
  3.1620000000e-02   8.8410958802e+03   8.6261759010e+03   7.5629953695e-01
  3.3500000000e-02   9.0085813536e+03   8.7057157196e+03   7.3007866077e-01
  3.5480000000e-02   9.1807178620e+03   8.7748508429e+03   7.0219446347e-01
  3.7580000000e-02   9.2834465474e+03   8.8145845945e+03   6.7274608484e-01
  3.9810000000e-02   9.3213314860e+03   9.0203356892e+03   6.4001703314e-01
  4.2170000000e-02   9.3962221144e+03   9.2659760440e+03   6.0591209201e-01
  4.4670000000e-02   9.5571191705e+03   9.4806056349e+03   5.7178774910e-01
  4.7320000000e-02   9.7203673228e+03   9.6978152874e+03   5.3765852168e-01
  5.0120000000e-02   9.8882873269e+03   9.9469322035e+03   5.0389186471e-01
  5.3090000000e-02   1.0045798579e+04   1.0282067352e+04   4.7019338724e-01
  5.6230000000e-02   1.0230200220e+04   1.0739896724e+04   4.3714807456e-01
  5.9570000000e-02   1.0418264467e+04   1.1692378175e+04   4.0311596517e-01
  6.3100000000e-02   1.1457336789e+04   1.2510500804e+04   3.7820544517e-01
  6.6830000000e-02   1.2572466536e+04   1.2971023119e+04   3.5490465683e-01
  7.0790000000e-02   1.3569782908e+04   1.3270425847e+04   3.2987424850e-01
  7.4990000000e-02   1.4346674542e+04   1.3469629183e+04   3.0351328193e-01
  7.9430000000e-02   1.4882786260e+04   1.3545993783e+04   2.7766111876e-01
  8.4140000000e-02   1.5231431067e+04   1.3491400637e+04   2.5499675855e-01
  8.9130000000e-02   1.5587051907e+04   1.3468323675e+04   2.3361719203e-01
  9.4410000000e-02   1.6028961072e+04   1.4051611438e+04   2.1133338798e-01
  1.0000000000e-01   1.6207493652e+04   1.4278341383e+04   1.9410508569e-01
