! Produced on 2013-11-01 00:52:23.414571
! Based on data files downloaded from the homepage of Draine:
! http://www.astro.princeton.edu/~draine/dust/dust.diel.html
! 
! Local input files:
! SiC: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/SiC_81
! silicate: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/suvSil_81
! graphite: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/Gra_81
! 
! Averaged over a power law distribution of grain size:
! rmin = 5.000e-02, rmax = 1.000e+01, index = -3.500
! 
! Then averaged over a few dust species based on the following weights:
! SiC: 3.000e-01 silicate: 6.000e-01 graphite: 1.000e-01 
! 
! iformat =      3
! nrows =    201
! 
! lambda             absor              scatter            g                 
! micron             cm2 g-1            cm2 g-1                              
  1.0000000000e-02   4.7338606777e+03   5.0642280444e+03   9.9660204869e-01
  1.0590000000e-02   4.8209382666e+03   4.8857503422e+03   9.9611301549e-01
  1.1220000000e-02   4.3892286916e+03   4.9201267797e+03   9.9616549012e-01
  1.1890000000e-02   4.4386228196e+03   5.3112245139e+03   9.9551322199e-01
  1.2590000000e-02   4.4936889276e+03   5.4145756917e+03   9.9485606836e-01
  1.3340000000e-02   4.5288672725e+03   5.4809016299e+03   9.9429645376e-01
  1.4130000000e-02   4.5488892941e+03   5.5766993670e+03   9.9344866588e-01
  1.4960000000e-02   4.5849321012e+03   5.6105606400e+03   9.9240501886e-01
  1.5850000000e-02   4.6167754045e+03   5.6255627984e+03   9.9108848391e-01
  1.6790000000e-02   4.6446143052e+03   5.6298766453e+03   9.8986288384e-01
  1.7780000000e-02   4.6705850813e+03   5.6228642996e+03   9.8846213125e-01
  1.8840000000e-02   4.7012414350e+03   5.5858887675e+03   9.8689390381e-01
  1.9950000000e-02   4.6854266759e+03   5.6240618699e+03   9.8508272882e-01
  2.1130000000e-02   4.6914107063e+03   5.6487060368e+03   9.8258866151e-01
  2.2390000000e-02   4.6997170930e+03   5.6563964164e+03   9.8007552648e-01
  2.3710000000e-02   4.6954582648e+03   5.6815102891e+03   9.7710846099e-01
  2.5120000000e-02   4.7002853896e+03   5.7011327601e+03   9.7364976532e-01
  2.6610000000e-02   4.7055968185e+03   5.7176467835e+03   9.6996898354e-01
  2.8180000000e-02   4.7099501970e+03   5.7361717308e+03   9.6586086409e-01
  2.9850000000e-02   4.7141360095e+03   5.7575652409e+03   9.6138120882e-01
  3.1620000000e-02   4.7177180039e+03   5.7833659780e+03   9.5657494282e-01
  3.3500000000e-02   4.7206983398e+03   5.8123589571e+03   9.5150685980e-01
  3.5480000000e-02   4.7243103582e+03   5.8444727152e+03   9.4597756273e-01
  3.7580000000e-02   4.7224681803e+03   5.8806815993e+03   9.4050309730e-01
