!Produced on 2013-10-29 02:22:33.096074
!Based on the ansatz of Andrew et al. 2009 (eq 1 - 5):
!2009 ApJ, 700, 1502
!Format:
!         8      5000       100        50
!(8ES18.9)
! radius            theta             dens_gas          T                 dens_dust         d2g_mass          d2g_num           r_dust            
   5.000000000e-01   5.707963268e-01   1.185057829e-72   0.000000000e+00   2.145536059e-86   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   5.985732319e-01   6.793063078e-68   0.000000000e+00   1.229877684e-81   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   6.263501370e-01   2.859951486e-63   0.000000000e+00   5.177915278e-77   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   6.541270421e-01   8.843386373e-59   0.000000000e+00   1.601086789e-72   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   6.819039472e-01   2.008377971e-54   0.000000000e+00   3.636149436e-68   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   7.096808524e-01   3.349956854e-50   0.000000000e+00   6.065065391e-64   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   7.374577575e-01   4.103929514e-46   0.000000000e+00   7.430125804e-60   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   7.652346626e-01   3.692559378e-42   0.000000000e+00   6.685344041e-56   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   7.930115677e-01   2.440180755e-38   0.000000000e+00   4.417924316e-52   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   8.207884728e-01   1.184359158e-34   0.000000000e+00   2.144271122e-48   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   8.485653779e-01   4.221937140e-31   0.000000000e+00   7.643777502e-45   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   8.763422830e-01   1.105368332e-27   0.000000000e+00   2.001258974e-41   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   9.041191882e-01   2.125539543e-24   0.000000000e+00   3.848269361e-38   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   9.318960933e-01   3.001914197e-21   0.000000000e+00   5.434937432e-35   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   9.596729984e-01   3.113825534e-18   0.000000000e+00   5.637551857e-32   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   9.874499035e-01   2.372232174e-15   0.000000000e+00   4.294904050e-29   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.015226809e+00   1.327354796e-12   0.000000000e+00   2.403163379e-26   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.043003714e+00   5.454862021e-10   0.000000000e+00   9.875976408e-24   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.070780619e+00   1.646445773e-07   0.000000000e+00   2.980874594e-21   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.098557524e+00   3.649875145e-05   0.000000000e+00   6.608064637e-19   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.126334429e+00   5.942586341e-03   0.000000000e+00   1.075899670e-16   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.154111334e+00   7.106240602e-01   0.000000000e+00   1.286578180e-14   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.181888239e+00   6.241244985e+01   0.000000000e+00   1.129971537e-12   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.209665144e+00   4.025960112e+03   0.000000000e+00   7.288962936e-11   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.237442050e+00   1.907368564e+05   0.000000000e+00   3.453272854e-09   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.262190891e+00   4.575386878e+06   0.000000000e+00   8.283694929e-08   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.275048141e+00   2.164461041e+07   0.000000000e+00   3.918736367e-07   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.287905392e+00   9.584172617e+07   0.000000000e+00   1.735205442e-06   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.300762643e+00   3.972303142e+08   0.000000000e+00   7.191817495e-06   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.313619894e+00   1.541036919e+09   0.000000000e+00   2.790032855e-05   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.000000000e-01   1.326477145e+00   5.595856975e+09   0.000000000e+00   1.013124645e-04   1.000000000e-05   1.810490599e-14   2.207729393e-02
