H2          5.00E-1
HD          1.50E-5
He          0.14
!
gH2O        2.500D-04
gHDO        1.050D-08
N           2.250D-05
CN          6.000D-08
H3+         1.000D-08
CS          4.000D-09
SO          5.000D-09
Si+         1.000D-11
S+          1.000D-11
Mg+         1.000D-11
Fe+         1.000D-11
C+          1.000D-09

CO          1.000D-04
N2          1.000D-06
C           7.000D-07
NH3         8.000D-08
HCN         2.000D-08
HCO+        9.000D-09
H2D+        1.300D-10
HD2+        1.000D-10
D3+         2.000D-10
C2H         8.000D-09
!
Grain0      6.000D-12
