The continuum subtraced TW Hya LH spectra from AOR 24402944
continuum fitting routine: fit_irs_spline_new.pro
To rebuild the full spectrum, please use continuum + continuum subracted
wavelength(um)   continuum(Jy)     continuum subtracted spectrum(Jy)
      20.0076       2.3561035    0.0035864970
      20.0226       2.3543501       0.0000000
      20.0376       2.3528439     0.023325989
      20.0526       2.3515528     0.013747140
      20.0675       2.3504738   -0.0024337061
      20.0825       2.3496033     0.037196792
      20.0974       2.3489861    0.0093439182
      20.1123       2.3486738     0.062906319
      20.1272       2.3487553     0.017124684
      20.1421       2.3493600     0.011940028
      20.1570       2.3506701       0.0000000
      20.1719       2.3528398     0.015220341
      20.1867       2.3556868     0.015283180
      20.2015       2.3590357     0.018524165
      20.2163       2.3627506     0.024499343
      20.2311       2.3667325     0.013257608
      20.2459       2.3709077     0.015802278
      20.2607       2.3752239     0.010956052
      20.2755       2.3796409     0.019109189
      20.2902       2.3841000    -0.010740033
      20.3049       2.3886091     0.010410871
      20.3196       2.3931519     0.049187969
      20.3343       2.3977155  -0.00081552733
      20.3490       2.4022893     0.024970594
      20.3637       2.4068623     0.012627773
      20.3783       2.4113937     0.010296280
      20.3930       2.4159352     0.010024815
      20.4076       2.4204121     0.010917841
      20.4222       2.4248383    0.0033617223
      20.4368       2.4291938    0.0022262982
      20.4514       2.4334500     0.016050082
      20.4660       2.4375686     0.016531257
      20.4805       2.4414732     0.015446699
      20.4951       2.4451486    0.0059813453
      20.5096       2.4484507    0.0062091972
      20.5241       2.4512801       0.0000000
      20.5386       2.4535316     0.017228493
      20.5531       2.4553098    0.0076902203
      20.5675       2.4567320  -0.00046199991
      20.5820       2.4579101   -0.0026200470
      20.5965       2.4589009    0.0020489547
      20.6109       2.4597491    0.0053408915
      20.6253       2.4604981    0.0063820203
      20.6397       2.4611745     0.015925349
      20.6541       2.4617983     0.029011661
      20.6685       2.4623839    0.0078261354
      20.6828       2.4629389    0.0061310719
      20.6972       2.4634795     0.014180461
      20.7037       2.4637193     0.020070625
      20.7199       2.4643105    0.0088795424
      20.7360       2.4648947     0.014305232
      20.7521       2.4654826   -0.0085726840
      20.7682       2.4660819   -0.0079320276
      20.7843       2.4667017    -0.019391757
      20.8003       2.4673492    -0.027589267
      20.8164       2.4680476   -0.0096275812
      20.8324       2.4688087     0.017171358
      20.8484       2.4696650     0.036584903
      20.8644       2.4706560     0.019504016
      20.8804       2.4718367   0.00045332387
      20.8964       2.4732851     0.018144940
      20.9123       2.4750970     0.020383018
      20.9282       2.4774310     0.013378967
      20.9442       2.4805200       0.0000000
      20.9601       2.4845007   -0.0020406872
      20.9759       2.4891474    0.0046225023
      20.9918       2.4942664    0.0043636829
      21.0076       2.4995946     0.020255393
      21.0235       2.5050262    0.0081638229
      21.0393       2.5103300       0.0000000
      21.0551       2.5154110    0.0050391465
      21.0709       2.5202985    0.0022914386
      21.0866       2.5250128    -0.013232826
      21.1024       2.5296492    -0.015559126
      21.1181       2.5341700   -0.0034300157
      21.1338       2.5386180  -5.8050082e-05
      21.1495       2.5429956     0.051774334
      21.1652       2.5472994     0.066560487
      21.1809       2.5515173     0.031862661
      21.1965       2.5556005     0.024959444
      21.2122       2.5595671     0.012822957
      21.2278       2.5633171    0.0057029747
      21.2434       2.5668048     0.021925276
      21.2590       2.5699301       0.0000000
      21.2746       2.5726071     0.017612892
      21.2901       2.5749099     0.041880148
      21.3057       2.5769696     0.011360453
      21.3212       2.5788323     0.019957609
      21.3367       2.5805644     0.036165542
      21.3522       2.5822031     0.032356817
      21.3677       2.5837760     0.027473969
      21.3832       2.5853027     0.013827182
      21.3986       2.5867891     0.032230901
      21.4141       2.5882659     0.027424141
      21.4295       2.5897231     0.023036974
      21.4449       2.5911787     0.016261314
      21.4603       2.5926406     0.045929445
      21.4757       2.5941176     0.037922394
      21.4911       2.5956200     0.015619876
      21.5064       2.5971507     0.017059224
      21.5217       2.5987364     0.029123640
      21.5371       2.6004111    -0.037271159
      21.5524       2.6021844     0.039535635
      21.5677       2.6041097     0.020580353
      21.5829       2.6062317   -0.0011616173
      21.5982       2.6086600       0.0000000
      21.6134       2.6114250    0.0053149496
      21.6287       2.6144649    0.0072651454
      21.6439       2.6176193     0.025890832
      21.6591       2.6208021     0.034677846
      21.6743       2.6239110     0.068199074
      21.6895       2.6268362     0.022833641
      21.7046       2.6294314    0.0058885088
      21.7198       2.6315701       0.0000000
      21.7349       2.6330897   -0.0011498600
      21.7500       2.6341185     0.044111516
      21.7608       2.6346307      0.11476924
      21.7779       2.6351626   -0.0014426803
      21.7950       2.6354492     0.052650935
      21.8121       2.6355716     0.051608405
      21.8291       2.6355893     0.064450812
      21.8461       2.6355475      0.13177237
      21.8632       2.6354824     0.022817492
      21.8802       2.6354282     0.022371727
      21.8971       2.6354192     0.011290710
      21.9141       2.6354958     0.013444276
      21.9311       2.6357104     0.043589681
      21.9480       2.6361301       0.0000000
      21.9649       2.6368152     0.013174873
      21.9818       2.6377119     0.020778002
      21.9987       2.6387571    0.0086828325
      22.0155       2.6399004   -0.0021404692
      22.0324       2.6411258    0.0037542298
      22.0492       2.6423992     0.011420850
      22.0660       2.6437153     0.024074646
      22.0828       2.6450674     0.052432627
      22.0995       2.6464450     0.018904946
      22.1163       2.6478669    0.0096431762
      22.1330       2.6493228     0.030047116
      22.1498       2.6508429     0.022507178
      22.1665       2.6524285     0.024141435
      22.1831       2.6541066     0.021043292
      22.1998       2.6559395     0.022310524
      22.2165       2.6579777     0.042782171
      22.2331       2.6602935     0.024316344
      22.2497       2.6630199       0.0000000
      22.2663       2.6662623     0.011197640
      22.2829       2.6699151     0.021614843
      22.2995       2.6738560   0.00066398233
      22.3160       2.6779739    0.0092660305
      22.3325       2.6822321     0.060997990
      22.3491       2.6866155     0.042764383
      22.3656       2.6910422     0.030327827
      22.3820       2.6954898     0.044750323
