!Ion
Fe+
!MOLECULAR WEIGHT
56.0
!NUMBER OF ENERGY LEVELS
9
!LEVEL + ENERGIES(cm^-1) + WEIGHT + Qnum
   1           0.0000000      10.0           3d6(5D)4s__a6D%6D9/2
   2         384.7900000       8.0           3d6(5D)4s__a6D%6D7/2
   3         667.6830000       6.0           3d6(5D)4s__a6D%6D5/2
   4         862.6130000       4.0           3d6(5D)4s__a6D%6D3/2
   5         977.0530000       2.0           3d6(5D)4s__a6D%6D1/2
   6        1872.5670000      10.0           3d7________a4F%4F9/2
   7        2430.0970000       8.0           3d7________a4F%4F7/2
   8        2837.9500000       6.0           3d7________a4F%4F5/2
   9        3117.4610000       4.0           3d7________a4F%4F3/2
!NUMBER OF RADIATIVE TRANSITIONS
17
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1      2.130e-03  1.1535714e+04     553.627
    2     3     2      1.570e-03  8.4809180e+03     960.647
    3     4     3      7.180e-04  5.8438542e+03    1241.108
    4     5     4      1.880e-04  3.4308250e+03    1405.761
    5     6     1      2.800e-04  5.6138147e+04    2694.206
    6     7     2      1.800e-04  6.1316758e+04    3496.368
    7     7     1      1.000e-04  7.2852473e+04    3496.368
    8     7     3      3.400e-05  5.2835841e+04    3496.368
    9     7     6      6.120e-03  1.6714326e+04    3496.368
   10     8     3      1.000e-04  6.5062971e+04    4083.177
   11     8     2      6.900e-04  7.3543884e+04    4083.177
   12     8     4      2.500e-05  5.9219111e+04    4083.177
   13     8     7      3.660e-03  1.2227126e+04    4083.177
   14     9     4      4.000e-05  6.7598640e+04    4485.331
   15     9     3      2.800e-05  7.3442492e+04    4485.331
   16     9     5      9.900e-06  6.4167817e+04    4485.331
   17     9     8      1.410e-03  8.3795286e+03    4485.331
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
2 Fe+ + e
!NUMBER OF COLL TRANS
36
!NUMBER OF COLL TEMPS
16
!COLL TEMPS
                   1.00e+01  1.58e+01  2.51e+01  3.98e+01  6.31e+01  1.00e+02  1.58e+02  2.51e+02  3.98e+02  6.31e+02  1.00e+03  1.58e+03  2.51e+03  3.98e+03  6.31e+03  1.00e+04
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
    1     2     1  2.48e-06  1.96e-06  1.54e-06  1.21e-06  9.45e-07  7.31e-07  5.59e-07  4.24e-07  3.19e-07  2.41e-07  1.86e-07  1.47e-07  1.14e-07  8.34e-08  5.86e-08  4.02e-08
    2     3     1  1.06e-06  8.34e-07  6.51e-07  5.05e-07  3.86e-07  2.91e-07  2.15e-07  1.56e-07  1.14e-07  8.75e-08  7.13e-08  5.99e-08  4.85e-08  3.66e-08  2.56e-08  1.68e-08
    3     4     1  7.38e-07  5.80e-07  4.54e-07  3.52e-07  2.70e-07  2.04e-07  1.51e-07  1.10e-07  7.99e-08  5.99e-08  4.74e-08  3.90e-08  3.16e-08  2.41e-08  1.71e-08  1.16e-08
    4     5     1  6.08e-07  4.79e-07  3.75e-07  2.92e-07  2.24e-07  1.70e-07  1.27e-07  9.27e-08  6.76e-08  5.04e-08  3.95e-08  3.21e-08  2.60e-08  2.00e-08  1.45e-08  9.99e-09
    5     6     1  9.97e-07  7.98e-07  6.42e-07  5.18e-07  4.21e-07  3.43e-07  2.78e-07  2.23e-07  1.73e-07  1.28e-07  8.98e-08  6.11e-08  4.03e-08  2.60e-08  1.65e-08  1.06e-08
    6     7     1  5.59e-07  4.46e-07  3.57e-07  2.86e-07  2.30e-07  1.86e-07  1.49e-07  1.18e-07  9.14e-08  6.73e-08  4.70e-08  3.16e-08  2.09e-08  1.35e-08  8.50e-09  5.27e-09
    7     8     1  2.71e-07  2.16e-07  1.73e-07  1.38e-07  1.10e-07  8.81e-08  7.00e-08  5.47e-08  4.14e-08  2.98e-08  2.03e-08  1.34e-08  8.67e-09  5.46e-09  3.35e-09  2.01e-09
    8     9     1  1.12e-07  8.89e-08  7.11e-08  5.69e-08  4.57e-08  3.67e-08  2.93e-08  2.30e-08  1.74e-08  1.24e-08  8.32e-09  5.33e-09  3.39e-09  2.11e-09  1.26e-09  7.12e-10
    9     3     2  2.93e-06  2.31e-06  1.83e-06  1.44e-06  1.12e-06  8.73e-07  6.74e-07  5.19e-07  4.01e-07  3.14e-07  2.49e-07  1.96e-07  1.48e-07  1.06e-07  7.25e-08  4.80e-08
   10     4     2  1.19e-06  9.33e-07  7.29e-07  5.65e-07  4.33e-07  3.26e-07  2.42e-07  1.78e-07  1.33e-07  1.05e-07  8.83e-08  7.62e-08  6.31e-08  4.82e-08  3.38e-08  2.23e-08
   11     5     2  8.66e-07  6.81e-07  5.33e-07  4.14e-07  3.18e-07  2.40e-07  1.78e-07  1.31e-07  9.67e-08  7.43e-08  6.07e-08  5.11e-08  4.17e-08  3.15e-08  2.18e-08  1.41e-08
   12     6     2  4.79e-07  3.82e-07  3.06e-07  2.46e-07  1.98e-07  1.60e-07  1.29e-07  1.02e-07  7.88e-08  5.81e-08  4.07e-08  2.77e-08  1.83e-08  1.18e-08  7.45e-09  4.70e-09
   13     7     2  5.21e-07  4.17e-07  3.35e-07  2.71e-07  2.20e-07  1.79e-07  1.45e-07  1.16e-07  9.00e-08  6.61e-08  4.60e-08  3.10e-08  2.03e-08  1.30e-08  8.18e-09  5.13e-09
   14     8     2  4.66e-07  3.73e-07  2.99e-07  2.42e-07  1.96e-07  1.60e-07  1.30e-07  1.04e-07  8.11e-08  6.05e-08  4.31e-08  2.97e-08  1.99e-08  1.29e-08  8.31e-09  5.35e-09
   15     9     2  3.66e-07  2.91e-07  2.32e-07  1.85e-07  1.48e-07  1.18e-07  9.38e-08  7.32e-08  5.54e-08  4.00e-08  2.74e-08  1.82e-08  1.18e-08  7.45e-09  4.59e-09  2.80e-09
   16     4     3  3.41e-06  2.70e-06  2.13e-06  1.68e-06  1.32e-06  1.03e-06  7.98e-07  6.17e-07  4.78e-07  3.73e-07  2.93e-07  2.27e-07  1.69e-07  1.20e-07  8.11e-08  5.36e-08
   17     5     3  1.51e-06  1.18e-06  9.21e-07  7.11e-07  5.41e-07  4.05e-07  2.97e-07  2.16e-07  1.60e-07  1.27e-07  1.09e-07  9.62e-08  8.18e-08  6.36e-08  4.53e-08  3.03e-08
   18     6     3  2.02e-07  1.61e-07  1.28e-07  1.03e-07  8.23e-08  6.59e-08  5.25e-08  4.13e-08  3.15e-08  2.29e-08  1.58e-08  1.05e-08  6.84e-09  4.36e-09  2.70e-09  1.64e-09
   19     7     3  3.80e-07  3.04e-07  2.44e-07  1.97e-07  1.60e-07  1.30e-07  1.06e-07  8.50e-08  6.63e-08  4.93e-08  3.49e-08  2.39e-08  1.59e-08  1.04e-08  6.61e-09  4.21e-09
   20     8     3  4.61e-07  3.69e-07  2.96e-07  2.39e-07  1.94e-07  1.58e-07  1.28e-07  1.01e-07  7.78e-08  5.68e-08  3.95e-08  2.66e-08  1.73e-08  1.09e-08  6.87e-09  4.35e-09
   21     9     3  5.18e-07  4.14e-07  3.32e-07  2.67e-07  2.16e-07  1.75e-07  1.42e-07  1.13e-07  8.78e-08  6.52e-08  4.63e-08  3.18e-08  2.12e-08  1.38e-08  8.84e-09  5.68e-09
   22     5     4  6.72e-06  4.85e-06  3.49e-06  2.51e-06  1.82e-06  1.33e-06  9.88e-07  7.43e-07  5.72e-07  4.50e-07  3.58e-07  2.78e-07  2.07e-07  1.44e-07  9.34e-08  5.62e-08
   23     6     4  5.84e-08  4.81e-08  4.01e-08  3.36e-08  2.82e-08  2.33e-08  1.88e-08  1.45e-08  1.07e-08  7.53e-09  5.12e-09  3.39e-09  2.17e-09  1.33e-09  7.81e-10  4.38e-10
   24     7     4  2.01e-07  1.63e-07  1.33e-07  1.10e-07  9.08e-08  7.49e-08  6.08e-08  4.81e-08  3.66e-08  2.69e-08  1.90e-08  1.30e-08  8.63e-09  5.52e-09  3.37e-09  1.96e-09
   25     8     4  3.40e-07  2.75e-07  2.24e-07  1.84e-07  1.52e-07  1.26e-07  1.02e-07  8.10e-08  6.18e-08  4.51e-08  3.17e-08  2.16e-08  1.43e-08  9.10e-09  5.56e-09  3.24e-09
   26     9     4  4.56e-07  3.69e-07  3.01e-07  2.47e-07  2.05e-07  1.69e-07  1.39e-07  1.11e-07  8.53e-08  6.30e-08  4.47e-08  3.07e-08  2.05e-08  1.32e-08  8.13e-09  4.77e-09
   27     6     5  1.49e-08  1.25e-08  1.05e-08  8.99e-09  7.65e-09  6.42e-09  5.22e-09  4.05e-09  2.99e-09  2.09e-09  1.40e-09  9.07e-10  5.73e-10  3.47e-10  2.00e-10  1.11e-10
   28     7     5  9.07e-08  7.30e-08  5.90e-08  4.79e-08  3.89e-08  3.14e-08  2.49e-08  1.91e-08  1.41e-08  1.00e-08  6.81e-09  4.50e-09  2.90e-09  1.80e-09  1.07e-09  6.08e-10
   29     8     5  1.84e-07  1.50e-07  1.22e-07  1.01e-07  8.39e-08  6.96e-08  5.71e-08  4.57e-08  3.53e-08  2.62e-08  1.88e-08  1.30e-08  8.78e-09  5.72e-09  3.56e-09  2.11e-09
