    8006.5805  2.8510-18.6204 3 6219.6192 45  18003140422 418 0    21 715 0     
   12478.2535  0.2051-13.1006 3 3623.7652 31  18003140415 7 9 0    16 412 0     
   22235.0798  0.0001 -5.8825 3  446.5107 39 -180031404 6 1 6 0     5 2 3 0     
   27206.4582  6.3643-19.1265 3 7210.5493141  18003140423 617 0    24 520 0     
   71592.4316  0.5310-13.4989 3 4606.1683 39  18003140419 416 0    18 513 0     
  115542.5692  0.6588-13.2595 3 4606.1683 35  18003140417 810 0    18 513 0     
  139614.2930  0.1500 -9.3636 3 3080.1788 87 -18003140414 6 9 0    15 312 0     
  177317.0680  0.1500-10.3413 3 3437.2774 31 -18003140415 610 0    16 313 0     
  183310.0870  0.0010 -3.6463 3  136.1639  7 -180031404 3 1 3 0     2 2 0 0     
  247440.0960  0.1500 -9.0097 3 2872.5806 29 -18003140414 410 0    15 313 0     
  259952.1820  0.2000 -8.6690 3 2739.4286 27 -18003140413 6 8 0    14 311 0     
  266574.0983  1.8473-14.1089 3 5739.2279129  18003140421 417 0    20 714 0     
  289008.0871  2.7396-15.1447 3 6167.7109129  18003140421 615 0    20 912 0     
  294805.1937  4.1586-16.0382 3 6707.3362135  18003140422 716 0    23 419 0     
  321225.6770  0.0006 -5.0909 3 1282.9191 63 -18003140410 2 9 0     9 3 6 0     
  325152.8990  0.0010 -3.5711 3  315.7795 11 -180031404 5 1 5 0     4 2 2 0     
  339043.9960  0.1500-10.0708 3 3810.9369 99 -18003140416 611 0    17 314 0     
  354808.5800  0.2000-10.4028 3 4006.0734105 -18003140417 413 0    16 710 0     
  373514.7088  6.1926-17.5865 3 7386.7750135  180031404221013 0    23 716 0     
  380197.3598  0.0001 -2.6152 3  212.1564 27 -180031404 4 1 4 0     3 2 1 0     
  390134.5100  0.0500 -6.0290 3 1525.1360 21 -18003140410 3 7 0    11 210 0     
  437346.6640  0.0020 -4.8220 3 1045.0584 15 -180031404 7 5 3 0     6 6 0 0     
  439150.7948  0.0003 -3.6615 3  742.0763 39 -180031404 6 4 3 0     5 5 0 0     
  443018.3546  0.0008 -4.3337 3 1045.0580 45 -180031404 7 5 2 0     6 6 1 0     
  448001.0775  0.0005 -2.5935 3  285.4186 27 -180031404 4 2 3 0     3 3 0 0     
  458682.8454  1.1313-13.1673 3 5276.8018 41  18003140420 416 0    19 713 0     
  470888.9030  0.0020 -4.0778 3  742.0730 13 -180031404 6 4 2 0     5 5 1 0     
  474689.1080  0.0010 -3.4856 3  488.1342 11 -180031404 5 3 3 0     4 4 0 0     
  488491.1280  0.0030 -4.1739 3  586.4792 13 -180031404 6 2 4 0     7 1 7 0     
  503568.5200  0.0200 -4.9916 3 1394.8142 51 -180031404 8 6 3 0     7 7 0 0     
  504482.6900  0.0500 -5.4671 3 1394.8142 17 -180031404 8 6 2 0     7 7 1 0     
  525890.1638  0.8432-12.2048 3 5035.1266117  18003140419 514 0    18 811 0     
  530342.8600  0.2000 -7.1006 3 2533.7932 87 -18003140414 312 0    13 4 9 0     
  534240.4544  0.3469-11.2954 3 4409.3446 37  18003140418 414 0    17 711 0     
  556935.9877  0.0003 -0.8189 3   23.7944  9 -180031404 1 1 0 0     1 0 1 0     
  557985.4794  0.6432-11.6213 3 4833.2084117  18003140419 415 0    18 712 0     
  558017.0036 12.4193-18.1025 3 7729.4622 49  18003140424 618 0    25 521 0     
  571913.6860  0.1000 -6.9705 3 2414.7235 75 -18003140412 6 7 0    13 310 0     
  591693.4339  0.2120 -8.6820 3 3244.6008 87  18003140414 7 8 0    15 411 0     
  593113.7249  7.4502-18.5975 3 7924.4438 49  18003140424 717 0    231014 0     
  593227.8163  0.4197-10.8822 3 4201.2514 35  18003140417 612 0    18 315 0     
  596308.5878  4.5348-15.8345 3 6687.8251 47  18003140423 519 0    22 616 0     
