              18005  H2O v2,2v2,v 
  207335.1934  0.7176-13.9305 3 5169.0392 21  18005140410 3 8 4    10 3 7 3     
  209118.3700  0.1500 -8.2364 3 2399.1655 11 -180051404 5 5 1 1     6 4 2 1     
  210076.2179  4.5509-19.1150 3 7032.7353 31  18005140415 7 9 2    15 610 3     
  212181.2702  1.1303-16.1591 3 5062.0106 21  18005140410 2 8 3    11 011 4     
  212342.4384  0.2161-14.7114 3 4188.3943 39  180051404 6 0 6 4     7 4 3 2     
  213222.8764  5.1115-19.9978 3 6458.0121 99  1800514041610 7 1    16 314 2     
  213761.3420  1.1764-15.1019 3 5027.2568 69  18005140411 3 8 2    10 1 9 4     
  215136.8829  2.6392-17.3195 3 6777.5285 31  18005140415 312 4    14 6 9 4     
  217847.9524  2.1529-18.0037 3 6037.8757 29  18005140414 213 4    13 410 3     
  217949.0977  1.9281-16.4305 3 5741.3913 21  18005140410 7 4 4    11 7 5 2     
  218002.0353  1.9300-15.9558 3 5741.4267 63  18005140410 7 3 4    11 7 4 2     
  221190.7803  8.7768-20.4790 3 7034.3492 93  18005140415 7 8 2    1612 5 1     
  225732.0116  1.0678-14.9478 3 5022.2814 21  18005140410 5 5 2     9 3 6 4     
  226826.6052  4.6689-15.7541 3 5475.7569 19  180051404 9 8 2 2     8 8 1 4     
  226826.9282  4.6689-15.2769 3 5475.7569 57  180051404 9 8 1 2     8 8 0 4     
  227780.0894  0.2889-14.6495 3 4224.5865 45  180051404 7 0 7 3     8 3 6 2     
  228043.6528  7.0196-18.3805 3 7495.4655105  18005140417 414 4    18 415 2     
  230191.5335  0.5297-14.6363 3  4784.662 51  180051404 8 3 5 4     9 5 4 2     
  232603.9173  9.2059-20.0126 3 8000.3562111  18005140418 514 3    18 613 2     
  232686.7000  0.0500 -7.6665 3 2398.3815 33 -180051404 5 5 0 1     6 4 3 1     
  235111.9324  0.9597-13.5046 3 5229.5773 21  18005140410 6 4 2     9 7 3 2     
  236805.3963  1.8209-16.1651 3 6256.0208 29  18005140414 312 4    13 4 9 4     
  240836.2909 15.8220-20.0455 3 8414.9703129  18005140421 219 2    20 218 4     
  241742.3106  4.7823-17.4449 3 6938.6377 81  18005140413 9 4 3    14 8 7 2     
  242112.1964  8.6974-19.8102 3 8286.0159111  18005140418 513 4    19 416 4     
  243006.1923  9.4531-20.3223 3 8181.4421 35  18005140417 810 3    18 513 3     
  243196.9082  0.6264-12.9521 3 4918.2348 63  18005140410 2 9 3     9 3 6 3     
  243282.1438  5.0025-17.9382 3 6938.5846 27  18005140413 9 5 3    14 8 6 2     
  248448.5599  0.6834-14.4656 3 4661.4486 63  18005140410 3 8 2     9 1 9 4     
  250014.9310  5.3213-19.3766 3 6351.8552 93  1800514041511 4 1    14 411 3     
  250292.9824  0.1394-12.1337 3 3926.8622  7  180051404 3 3 1 3     3 1 2 4     
  250421.5805  1.3140-17.7298 3 3216.1935 63  18005140410 4 7 1    1111 0 0     
  250751.7934  0.1264-11.5411 3 4259.8765 19  180051404 9 2 8 2     8 3 5 2     
  252172.2535  0.3806-13.0838 3 4564.0348 45  180051404 7 4 3 3     8 5 4 2     
  254039.8800  0.1500-10.7118 3 3887.1142 21 -180051404 3 1 3 4     2 2 0 4     
  254052.5518  3.4230-14.1936 3 5781.9583 87  18005140414 312 2    13 4 9 2     
  255048.6059 17.9828-20.5406 3 8414.9715 43  18005140421 319 2    20 318 4     
  256391.8145  0.2873-12.4589 3 4775.0884 19  180051404 9 5 5 2     8 6 2 2     
  257469.1792  0.1958-15.0509 3  3868.987 27  180051404 4 1 4 3     5 4 1 2     
  262555.5528  1.4168-16.1348 3 5465.0535 21  18005140410 7 3 2    11 4 8 3     
  262897.7480  0.1500 -9.5868 3 3101.1423 15 -180051404 7 7 1 1     8 6 2 1     
  263210.9331  1.2407-14.9072 3 5144.4089 69  18005140411 110 3    11 4 7 2     
  263451.3570  0.1500 -9.1079 3 3101.1239 45 -180051404 7 7 0 1     8 6 3 1     
  264001.4309  0.5014-12.8795 3 5229.5791 63  18005140410 6 5 2     9 7 2 2     
  265003.8027  7.1518-20.2306 3 5612.4951 69  18005140411 5 6 3    1212 1 1     
  265253.2997  0.2456-14.4979 3 4448.9707 15  180051404 7 3 5 3     7 1 6 4     
  266998.4174  1.2656-17.1515 3 6129.9833 75  18005140412 6 6 4    11 8 3 3     
  268149.1170  0.1500-10.8835 3 4188.3943 39 -180051404 6 5 2 2     7 4 3 2     
  270616.9986  2.6204-18.7746 3 6019.8315 81  18005140413 310 3    14 411 2     
  271294.2920  0.8075-16.8161 3 3583.3746 75  18005140412 310 1    1310 3 0     
  272466.0095  5.4199-18.0842 3 6807.6665105  18005140417 215 2    16 314 3     
  276621.1412  5.8679-18.7694 3  7414.522 33  18005140416 7 9 2    15 8 8 3     
  279650.8889  4.9428-17.4106 3 6342.5271 87  18005140414 411 3    15 214 4     
  279925.0822  9.4022-19.9402 3 8000.3562105  18005140417 710 3    18 613 2     
  283810.1347  4.0088-17.4203 3 6957.1166 93  18005140415 511 4    16 512 2     
  285148.2004  1.4378-14.0690 3 5473.8115 19  180051404 9 8 2 2    10 7 3 2     
  285393.9121 11.1853-20.4628 3 8609.3625117  18005140419 514 3    18 811 3     
  285416.7569  1.4387-13.5910 3 5473.8025 57  180051404 9 8 1 2    10 7 4 2     
  285889.3965  5.1315-16.9094 3 6873.4117 75  1800514041210 3 2    13 9 4 2     
  285916.1491  5.1326-17.3865 3 6873.4109 25  1800514041210 2 2    13 9 5 2     
  286329.5458  2.9079-17.4192 3 6336.0359 27  18005140413 7 7 2    13 5 8 4     
  289370.3901  1.7808-15.0667 3 6139.0294 81  18005140413 4 9 3    13 410 4     
  291524.1684  1.8957-17.8490 3 4525.2393 31  1800514041511 5 0    14 410 1     
  293566.8749  1.7126-16.9499 3 6138.8894 81  18005140413 4 9 3    12 6 6 4     
  293664.4910  0.2000 -8.1925 3 2724.1671 39 -180051404 6 6 1 1     7 5 2 1     
  295510.5270  0.2000-11.8200 3 4774.8049 57 -180051404 9 5 4 2     8 6 3 2     
  297439.2760  0.2000 -8.6585 3 2724.0415 13 -180051404 6 6 0 1     7 5 3 1     
  302165.3020  5.4216-18.3242 3 6807.4318 35  18005140417 315 2    16 214 3     
  308390.2580  7.2568-17.4946 3 5987.8764129  18005140421 021 1    21 516 0     
  309272.1703  4.6361-19.5411 3   6465.13 31  18005140415 313 3    1610 6 1     
  310893.7252  4.6284-17.8135 3 6510.2373 87  18005140414 510 3    15 411 2     
  312009.8017  3.2870-19.0017 3 5817.0793 31  18005140415 214 2    15 9 7 1     
  312718.8389  5.2750-17.6784 3 7396.5217 99  18005140416 611 3    17 314 3     
  314070.9217  0.1474-12.9633 3 3779.4931  5  180051404 2 2 0 3     1 0 1 4     
  317077.2320  0.0500-11.4637 3 4483.2277 57 -180051404 9 3 6 2    10 2 9 2     
  318320.0322  0.8697-14.7840 3 4842.1313 63  18005140410 010 4    10 4 7 2     
  322612.8880  0.3941-13.4331 3 4553.2736 51  180051404 8 5 4 2     7 3 5 4     
  322974.8900  0.1500-11.0111 3 4066.1226 33 -180051404 5 1 5 4     4 2 2 4     
  323524.9490  0.2000-11.1989 3 4186.5694 13 -180051404 6 5 1 2     7 4 4 2     
  323554.0190  0.1500-10.7892 3 4174.0388 87 -18005140414 312 1    13 4 9 1     
  323967.1028  4.3981-18.5730 3 6949.5799 93  18005140415 510 3    14 7 7 4     
  326059.4125  5.4376-17.2483 3 7199.1145 87  18005140414 9 6 2    1310 3 2     
  326168.7321  5.4353-17.7252 3 7199.1145 29  18005140414 9 5 2    1310 4 2     
  326686.7200  0.1500-11.2076 3 3966.5593 11 -180051404 5 1 5 3     4 2 2 3     
  328677.5248  7.1105-20.4513 3 5601.5316 25  1800514041212 0 1    11 5 7 3     
  329221.9405  6.8006-17.9864 3  7674.128123  18005140420 813 1    21 516 1     
  330115.9863  0.1553-13.4863 3 4065.1317 11  180051404 5 0 5 4     5 2 4 3     
  331123.7300  0.1000 -9.2207 3 3381.7043 21 -180051404 3 2 1 2     4 1 4 2     
  335711.4404  8.1592-19.0003 3 6767.5957 39  18005140419 119 2    19 614 1     
  336227.9410  0.0500 -6.7351 3 2042.7533 33 -180051404 5 2 3 1     6 1 6 1     
  336865.3126  1.5530-18.1704 3 4172.1525 29  18005140414 212 1    1411 3 0     
  337434.7982  2.8832-16.2206 3 6336.0359 29  18005140414 311 3    13 5 8 4     
  341209.2309  7.0482-18.6823 3 7490.9879 35  18005140417 314 4    18 315 2     
  345665.6307  1.3983-15.5962 3  5714.532 25  18005140412 3 9 3    11 5 6 4     
  348607.2618  4.2818-19.8093 3 5579.4914105  1800514041712 5 0    18 316 1     
  348644.8519 14.4349-19.5026 3 7601.5489123  18005140420 219 2    19 118 3     
  348870.5283 14.4435-19.9779 3 7601.5502 41  18005140420 119 2    19 218 3     
  350274.4687 17.3520-20.2104 3 7985.1314 41  18005140420 218 2    20 119 3     
  350484.6950  0.1500-15.0769 3 6148.6818 87 -18005140414 312 3    13 4 9 3     
  352494.7983  5.0497-19.6219 3 6096.5227111  18005140418 514 1    17 017 2     
