 2559396.8511 10.4052-12.8491 2 3632.1607  3   35011202 1 1         0 1         
 2674986.0940  0.0250 -5.2492 2    0.0000  3  -35011202 1 0         0 0         
 5100911.0485 17.6825-12.2071 2 3717.5330  5   35011202 2 1         1 1         
 5331561.9514  0.4664 -4.6184 2   89.2279  5   35011202 2 0         1 0         
 7607070.7835 19.2117-12.1124 2 3887.6811  7   35011202 3 1         2 1         
 7951728.1808  1.6468 -4.5422 2  267.0697  7   35011202 3 0         2 0         
10061225.9380 15.9863-12.3410 2 4141.4257  9   35011202 4 1         3 1         
10518307.0812  3.3873 -4.7969 2  532.3108  9   35011202 4 0         3 0         
12447958.9293 27.1514-12.8203 2 4477.0321 11   35011202 5 1         4 1         
13015353.4871  5.0130 -5.3095 2  883.1638 11   35011202 5 0         4 0         
14753495.5558 64.4633-13.5149 2 4892.2513 13   35011202 6 1         5 1         
15428565.6141  5.8076 -6.0448 2 1317.3092 13   35011202 6 0         5 0         
16966115.8417124.4780-14.4030 2 5384.3749 15   35011202 7 1         6 1         
17745695.9035  8.9902 -6.9807 2 1831.9508 15   35011202 7 0         6 0         
19076564.8825209.4531-15.4687 2 5950.3036 17   35011202 8 1         7 1         
19956961.8679 23.3894 -8.1013 2 2423.8835 17   35011202 8 0         7 0         
22055456.9365 54.4473 -9.3933 2 3089.5761 19   35011202 9 0         8 0         
24037561.3000109.0647-10.8449 2 3825.2669 21   3501120210 0         9 0         
25903352.7557196.7601-12.4453 2 4627.0737 23   3501120211 0        10 0         
27657017.5533329.4660-14.1844 2 5491.1165 25   3501120212 0        11 0         
