 tag   molecule                 #lines   lg(Q(1000))  lg(Q(500))   lg(Q(300))   lg(Q(225))   lg(Q(150))    lg(Q(75))  lg(Q(37.5))   lg(Q(18.75))  lg(Q(9.375))  lg(Q(5.000))  lg(Q(2.725))
  3501 HD                           20       1.2115       0.9135       0.7026       0.5876       0.4322       0.1964       0.0406       0.0014       0.0000       0.0000       0.0000
  4501 H2D+                        161          NaN       2.2148       1.8834       1.6986       1.4401       0.9882       0.4919       0.0846       0.0016       0.0000       0.0000
  5501 HD2+                        162          NaN          NaN       1.9098       1.7243       1.4652       1.0326       0.6405       0.3772       0.3049       0.3011       0.3010
  5502 HeH+                         18       1.3320       1.0335       0.8192       0.7015       0.5406       0.2874       0.0904       0.0075       0.0000          NaN          NaN
 12501 C-atom                        2       0.9359       0.9177       0.8939       0.8744       0.8363       0.7295       0.5494       0.3075       0.0962       0.0114       0.0002
 12502 BH                           15          NaN          NaN       1.2565       1.1339       0.9629       0.6781       0.4105       0.1794       0.0334          NaN          NaN
 12503 C+                            1       0.7521       0.7270       0.6947       0.6690       0.6209       0.5032       0.3713       0.3077       0.3011       0.3010       0.3010
 13501 C-13                          7       1.2369       1.2188       1.1950       1.1755       1.1374       1.0305       0.8504       0.6085       0.3972       0.3125       0.3012
 13502 CH                          385          NaN       2.3005       2.0822       1.9608       1.7924       1.5175       1.2752       1.0864       0.9523       0.9013       0.8906
 13503 CH+                          19          NaN       1.4051       1.1861       1.0641       0.8942       0.6124       0.3512       0.1342       0.0177       0.0004       0.0000
 13504 CH+, v=1-0                   35          NaN       1.4051       1.1861       1.0641       0.8942       0.6124       0.3512       0.1342       0.0177       0.0004       0.0000
 13505 CH+, v=2-0                   27          NaN       1.4051       1.1861       1.0641       0.8942       0.6124       0.3512       0.1342       0.0177       0.0004       0.0000
 13506 C-13-+                        3       1.0532       1.0280       0.9957       0.9700       0.9219       0.8040       0.6720       0.6080       0.6008       0.5995       0.5974
 14501 CH2                        1400          NaN       3.0544       2.7126       2.5215       2.2544       1.8071       1.3984       1.1159       0.9934       0.9590       0.9542
 14502 C-13-H+                      18          NaN       1.4051       1.1861       1.0641       0.8942       0.6124       0.3512       0.1342       0.0177       0.0004       0.0000
 14503 CD+                          22          NaN       1.6687       1.4469       1.3234       1.1505       0.8597       0.5798       0.3223       0.1136       0.0164       0.0004
 14504 C-13-H+, v=1-0               31          NaN       1.4051       1.1861       1.0641       0.8942       0.6124       0.3512       0.1342       0.0177       0.0004       0.0000
 14505 CD+, v=1-0                   33          NaN       1.6687       1.4469       1.3234       1.1505       0.8597       0.5798       0.3223       0.1136       0.0164       0.0004
 14506 N+                            9       1.3769       1.3247       1.2585       1.2066       1.1112       0.8895       0.6519       0.5071       0.4779       0.4771       0.4771
